Name,Amount,Category
United Airlines,500.0,Travel
INTRST PYMNT,-4.22,Transfer
SparkFun,89.4,Food and Drink
McDonald's,12.0,Food and Drink
Touchstone Climbing,78.5,Recreation
ACH Electronic CreditGUSTO PAY 123456,5850.0,Transfer
CREDIT CARD 3333 PAYMENT *//,25.0,Payment
AUTOMATIC PAYMENT - THANK,2078.5,Payment
Tectra Inc,500.0,Food and Drink
Uber,6.33,Travel
United Airlines,500.0,Travel
INTRST PYMNT,-4.22,Transfer
SparkFun,89.4,Food and Drink
McDonald's,12.0,Food and Drink
Touchstone Climbing,78.5,Recreation
ACH Electronic CreditGUSTO PAY 123456,5850.0,Transfer
CREDIT CARD 3333 PAYMENT *//,25.0,Payment
AUTOMATIC PAYMENT - THANK,2078.5,Payment
Tectra Inc,500.0,Food and Drink
Uber,6.33,Travel
United Airlines,500.0,Travel
INTRST PYMNT,-4.22,Transfer
SparkFun,89.4,Food and Drink
McDonald's,12.0,Food and Drink
Touchstone Climbing,78.5,Recreation
ACH Electronic CreditGUSTO PAY 123456,5850.0,Transfer
CREDIT CARD 3333 PAYMENT *//,25.0,Payment
AUTOMATIC PAYMENT - THANK,2078.5,Payment
Tectra Inc,500.0,Food and Drink
Uber,6.33,Travel
